guest_id,age
G000386,52.0
G000387,43.0
G000388,26.0
G000389,60.0
G000390,75.0
G000391,56.0
G000392,58.0
G000393,39.0
G000394,51.0
G000395,37.0
G000396,58.0
G000397,43.0
G000398,50.0
G000399,40.0
G000400,40.0
G000401,57.0
G000402,43.0
G000403,42.0
G000404,35.0
G000405,86.0
G000406,29.0
G000407,42.0
G000408,
G000409,90.0
G000410,35.0
G000411,48.0
G000412,50.0
G000413,38.0
G000414,69.0
G000415,23.0
G000416,63.0
G000417,46.0
G000418,51.0
G000419,66.0
G000420,43.0
G000421,55.0
G000422,38.0
G000423,40.0
G000424,69.0
G000425,39.0
G000426,48.0
G000427,49.0
G000428,40.0
G000429,44.0
G000430,43.0
G000431,47.0
G000432,67.0
G000433,38.0
G000434,38.0
G000435,32.0
G000436,61.0
G000437,56.0
G000438,37.0
G000439,48.0
G000440,33.0
G000441,29.0
G000442,50.0
G000443,55.0
G000444,37.0
G000445,46.0
G000446,40.0
G000447,58.0
G000448,59.0
G000449,50.0
G000450,43.0
G000451,27.0
G000452,36.0
G000453,58.0
G000454,36.0
G000455,45.0
G000456,
G000457,32.0
G000458,40.0
G000459,23.0
G000460,51.0
G000461,52.0
G000462,58.0
G000463,35.0
G000464,64.0
G000465,60.0
G000466,50.0
G000467,43.0
G000468,62.0
G000469,62.0
G000470,33.0
G000471,39.0
G000472,53.0
G000473,41.0
G000474,35.0
G000475,48.0
G000476,41.0
G000477,51.0
G000478,41.0
G000479,47.0
G000480,30.0
G000481,28.0
G000482,49.0
G000483,45.0
G000484,43.0
G000485,26.0
G000486,38.0
G000487,48.0
G000488,45.0
G000489,67.0
G000490,48.0
G000491,68.0
G000492,34.0
G000493,49.0
G000494,42.0
G000495,43.0
G000496,45.0
G000497,40.0
G000498,67.0
G000499,
G000500,31.0
G000501,48.0
G000502,61.0
G000503,40.0
G000504,60.0
G000505,49.0
G000506,58.0
G000507,46.0
G000508,33.0
G000509,46.0
G000510,42.0
G000511,60.0
G000512,18.0
G000513,65.0
G000514,36.0
G000515,34.0
G000516,56.0
G000517,55.0
G000518,28.0
G000519,42.0
G000520,55.0
G000521,19.0
G000522,56.0
G000523,61.0
G000524,35.0
G000525,38.0
G000526,46.0
G000527,48.0
G000528,42.0
G000529,39.0
G000530,43.0
G000531,39.0
G000532,18.0
G000533,21.0
G000534,60.0
G000535,52.0
G000536,37.0
G000537,27.0
G000538,41.0
G000539,40.0
G000540,53.0
G000541,34.0
G000542,34.0
G000543,48.0
G000544,20.0
G000545,52.0
G000546,52.0
G000547,40.0
G000548,48.0
G000549,55.0
G000550,33.0
G000551,41.0
G000552,61.0
G000553,55.0
G000554,68.0
G000555,60.0
G000556,50.0
G000557,50.0
G000558,80.0
G000559,47.0
G000560,81.0
G000561,57.0
G000562,46.0
G000563,52.0
G000564,48.0
G000565,47.0
G000566,47.0
G000567,43.0
G000568,42.0
G000569,30.0
G000570,63.0
G000571,48.0
G000572,27.0
G000573,45.0
G000574,66.0
G000575,45.0
G000576,50.0
G000577,35.0
G000578,64.0
G000579,43.0
G000580,34.0
G000581,25.0
G000582,
G000583,33.0
G000584,58.0
G000585,29.0
G000586,31.0
G000587,30.0
G000588,61.0
G000589,52.0
G000590,40.0
G000591,21.0
G000592,70.0
G000593,18.0
G000594,42.0
G000595,45.0
G000596,22.0
G000597,48.0
G000598,64.0
G000599,63.0
G000600,69.0
G000601,36.0
G000602,61.0
G000603,44.0
G000604,33.0
G000605,56.0
G000606,41.0
G000607,36.0
G000608,24.0
G000609,29.0
G000610,54.0
G000611,65.0
G000612,29.0
G000613,47.0
G000614,42.0
G000615,72.0
G000616,45.0
G000617,51.0
G000618,46.0
G000619,64.0
G000620,75.0
G000621,38.0
G000622,38.0
G000623,18.0
G000624,47.0
G000625,45.0
G000626,30.0
G000627,38.0
G000628,45.0
G000629,39.0
G000630,40.0
G000631,45.0
G000632,40.0
G000633,36.0
G000634,80.0
G000635,49.0
G000636,37.0
G000637,60.0
G000638,22.0
G000639,43.0
G000640,39.0
G000641,51.0
G000642,38.0
G000643,58.0
G000644,60.0
G000645,66.0
G000646,54.0
G000647,35.0
G000648,41.0
G000649,49.0
G000650,45.0
G000651,24.0
G000652,
G000653,62.0
G000654,38.0
G000655,34.0
G000656,41.0
G000657,48.0
G000658,34.0
G000659,39.0
G000660,37.0
G000661,63.0
G000662,19.0
G000663,60.0
G000664,28.0
G000665,48.0
G000666,57.0
G000667,50.0
G000668,47.0
G000669,18.0
G000670,39.0
G000671,41.0
G000672,64.0
G000673,69.0
G000674,59.0
G000675,47.0
G000676,36.0
G000677,37.0
G000678,67.0
G000679,75.0
G000680,49.0
G000681,46.0
G000682,26.0
G000683,53.0
G000684,39.0
G000685,44.0
G000686,31.0
G000687,60.0
G000688,36.0
G000689,43.0
G000690,23.0
G000691,59.0
G000692,50.0
G000693,18.0
G000694,44.0
G000695,55.0
G000696,29.0
G000697,55.0
G000698,60.0
G000699,50.0
G000700,35.0
G000701,58.0
G000702,52.0
G000703,52.0
G000704,18.0
G000705,32.0
G000706,43.0
G000707,59.0
G000708,36.0
G000709,40.0
G000710,18.0
G000711,50.0
G000712,81.0
G000713,56.0
G000714,35.0
G000715,33.0
G000716,52.0
G000717,52.0
G000718,54.0
G000719,48.0
G000720,38.0
G000721,58.0
G000722,45.0
G000723,
G000724,61.0
G000725,32.0
G000726,36.0
G000727,26.0
G000728,45.0
G000729,58.0
G000730,58.0
G000731,31.0
G000732,53.0
G000733,25.0
G000734,60.0
G000735,52.0
G000736,54.0
G000737,60.0
G000738,51.0
G000739,31.0
G000740,44.0
G000741,29.0
G000742,62.0
G000743,31.0
G000744,44.0
G000745,39.0
G000746,45.0
G000747,42.0
G000748,40.0
G000749,41.0
G000750,43.0
G000751,42.0
G000752,42.0
G000753,34.0
G000754,58.0
G000755,44.0
G000756,27.0
G000757,44.0
G000758,58.0
G000759,54.0
G000760,53.0
G000761,41.0
G000762,39.0
G000763,36.0
G000764,28.0
G000765,21.0
G000766,48.0
G000767,35.0
G000768,46.0
G000769,43.0
G000770,45.0
G000771,50.0
G000772,40.0
G000773,28.0
G000774,54.0
G000775,58.0
G000776,40.0
G000777,75.0
G000778,42.0
G000779,54.0
G000780,47.0
G000781,33.0
G000782,41.0
G000783,49.0
G000784,63.0
G000785,43.0
G000786,45.0
G000787,47.0
G000788,33.0
G000789,25.0
G000790,53.0
G000791,45.0
G000792,45.0
G000793,37.0
G000794,51.0
G000795,50.0
G000796,43.0
G000797,53.0
G000798,79.0
G000799,46.0
G000800,43.0
G000801,24.0
G000802,49.0
G000803,25.0
G000804,33.0
G000805,34.0
G000806,51.0
G000807,50.0
G000808,59.0
G000809,54.0
G000810,33.0
G000811,44.0
G000812,48.0
G000813,53.0
G000814,30.0
G000815,38.0
G000816,68.0
G000817,38.0
G000818,48.0
G000819,52.0
G000820,53.0
G000821,31.0
G000822,55.0
G000823,48.0
G000824,18.0
G000825,48.0
G000826,51.0
G000827,50.0
G000828,32.0
G000829,31.0
G000830,45.0
G000831,
G000832,33.0
G000833,21.0
G000834,46.0
G000835,37.0
G000836,37.0
G000837,48.0
G000838,41.0
G000839,51.0
G000840,29.0
G000841,45.0
G000842,44.0
G000843,27.0
G000844,57.0
G000845,63.0
G000846,57.0
G000847,47.0
G000848,71.0
G000849,47.0
G000850,58.0
G000851,44.0
G000852,41.0
G000853,61.0
G000854,33.0
G000855,59.0
G000856,58.0
G000857,51.0
G000858,48.0
G000859,39.0
G000860,45.0
G000861,57.0
G000862,49.0
G000863,43.0
G000864,35.0
G000865,24.0
G000866,32.0
G000867,64.0
G000868,44.0
G000869,59.0
G000870,44.0
G000871,46.0
G000872,56.0
G000873,68.0
G000874,38.0
G000875,60.0
G000876,30.0
G000877,45.0
G000878,56.0
G000879,27.0
G000880,51.0
G000881,35.0
G000882,65.0
G000883,34.0
G000884,69.0
G000885,47.0
G000886,62.0
G000887,47.0
G000888,58.0
G000889,29.0
G000890,81.0
G000891,47.0
G000892,43.0
G000893,43.0
G000894,51.0
G000895,55.0
G000896,49.0
G000897,68.0
G000898,52.0
G000899,27.0
G000900,70.0
G000901,18.0
G000902,33.0
G000903,30.0
G000904,53.0
G000905,32.0
G000906,47.0
G000907,59.0
G000908,42.0
G000909,38.0
G000910,52.0
G000911,31.0
G000912,48.0
G000913,65.0
G000914,57.0
G000915,52.0
G000916,36.0
G000917,39.0
G000918,34.0
G000919,37.0
G000920,67.0
G000921,70.0
G000922,73.0
G000923,72.0
G000924,78.0
G000925,41.0
G000926,31.0
G000927,37.0
G000928,42.0
G000929,27.0
G000930,26.0
G000931,58.0
G000932,59.0
G000933,41.0
G000934,35.0
G000935,70.0
G000936,38.0
G000937,35.0
G000938,56.0
G000939,27.0
G000940,71.0
G000941,56.0
G000942,28.0
G000943,60.0
G000944,48.0
G000945,25.0
G000946,48.0
G000947,48.0
G000948,65.0
G000949,30.0
G000950,65.0
G000951,30.0
G000952,55.0
G000953,55.0
G000954,44.0
G000955,49.0
G000956,29.0
G000957,39.0
G000958,53.0
G000959,50.0
G000960,37.0
G000961,55.0
G000962,24.0
G000963,60.0
G000964,36.0
G000965,41.0
G000966,31.0
G000967,37.0
G000968,90.0
G000969,26.0
G000970,57.0
G000971,34.0
G000972,54.0
G000973,46.0
G000974,51.0
G000975,65.0
G000976,38.0
G000977,46.0
G000978,62.0
G000979,55.0
G000980,40.0
G000981,36.0
G000982,60.0
G000983,56.0
G000984,66.0
G000985,68.0
G000986,47.0
G000987,25.0
G000988,52.0
G000989,68.0
G000990,47.0
G000991,72.0
G000992,51.0
G000993,48.0
G000994,41.0
G000995,52.0
G000996,35.0
G000997,37.0
G000998,44.0
G000999,51.0
G001000,43.0
G001001,49.0
G001002,54.0
G001003,54.0
G001004,36.0
G001005,52.0
G001006,50.0
G001007,51.0
G001008,40.0
G001009,30.0
G001010,55.0
G001011,43.0
G001012,38.0
G001013,56.0
G001014,59.0
G001015,55.0
G001016,55.0
G001017,60.0
G001018,70.0
G001019,35.0
G001020,63.0
G001021,18.0
G001022,50.0
G001023,43.0
G001024,
G001025,53.0
G001026,44.0
G001027,55.0
G001028,18.0
G001029,77.0
G001030,40.0
G001031,42.0
G001032,47.0
G001033,46.0
G001034,48.0
G001035,40.0
G001036,73.0
G001037,65.0
G001038,20.0
G001039,32.0
G001040,33.0
G001041,26.0
G001042,31.0
G001043,55.0
G001044,40.0
G001045,57.0
G001046,33.0
G001047,52.0
G001048,53.0
G001049,47.0
G001050,63.0
G001051,18.0
G001052,46.0
G001053,55.0
G001054,34.0
G001055,40.0
G001056,46.0
G001057,33.0
G001058,46.0
G001059,22.0
G001060,53.0
G001061,50.0
G001062,55.0
G001063,47.0
G001064,38.0
G001065,42.0
G001066,61.0
G001067,65.0
G001068,66.0
G001069,72.0
G001070,46.0
G001071,46.0
G001072,31.0
G001073,32.0
G001074,49.0
G001075,46.0
G001076,25.0
G001077,57.0
G001078,69.0
G001079,55.0
G001080,67.0
G001081,40.0
G001082,52.0
G001083,45.0
G001084,60.0
G001085,47.0
G001086,24.0
G001087,39.0
G001088,51.0
G001089,45.0
G001090,37.0
G001091,43.0
G001092,76.0
G001093,45.0
G001094,24.0
G001095,41.0
G001096,26.0
G001097,37.0
G001098,48.0
G001099,48.0
G001100,39.0
G001101,59.0
G001102,38.0
G001103,31.0
G001104,56.0
G001105,69.0
G001106,64.0
G001107,44.0
G001108,18.0
G001109,36.0
G001110,61.0
G001111,47.0
G001112,
G001113,49.0
G001114,38.0
G001115,60.0
G001116,42.0
G001117,64.0
G001118,61.0
G001119,73.0
G001120,53.0
G001121,42.0
G001122,49.0
G001123,57.0
G001124,47.0
G001125,27.0
G001126,28.0
G001127,57.0
G001128,21.0
G001129,35.0
G001130,63.0
G001131,38.0
G001132,43.0
G001133,46.0
G001134,44.0
G001135,36.0
G001136,44.0
G001137,42.0
G001138,41.0
G001139,36.0
G001140,41.0
G001141,44.0
G001142,44.0
G001143,55.0
G001144,67.0
G001145,43.0
G001146,36.0
G001147,61.0
G001148,32.0
G001149,55.0
G001150,39.0
G001151,56.0
G001152,39.0
G001153,53.0
G001154,43.0
G001155,44.0
G001156,33.0
G001157,54.0
G001158,44.0
G001159,23.0
G001160,38.0
G001161,53.0
G001162,42.0
G001163,34.0
G001164,37.0
G001165,53.0
G001166,24.0
G001167,33.0
G001168,47.0
G001169,53.0
G001170,47.0
G001171,23.0
G001172,35.0
G001173,20.0
G001174,25.0
G001175,76.0
G001176,38.0
G001177,59.0
G001178,59.0
G001179,51.0
G001180,47.0
G001181,35.0
G001182,58.0
G001183,58.0
G001184,36.0
G001185,39.0
G001186,40.0
G001187,52.0
G001188,63.0
G001189,44.0
G001190,45.0
G001191,65.0
G001192,64.0
G001193,36.0
G001194,71.0
G001195,42.0
G001196,40.0
G001197,56.0
G001198,46.0
G001199,50.0
G001200,18.0
G001201,44.0
G001202,18.0
G001203,58.0
G001204,63.0
G001205,47.0
G001206,52.0
G001207,32.0
G001208,49.0
G001209,48.0
G001210,38.0
G001211,37.0
G001212,52.0
G001213,56.0
G001214,53.0
G001215,18.0
G001216,37.0
G001217,77.0
G001218,53.0
G001219,44.0
G001220,28.0
G001221,36.0
G001222,26.0
G001223,45.0
G001224,55.0
G001225,47.0
G001226,54.0
G001227,54.0
G001228,43.0
G001229,42.0
G001230,35.0
G001231,63.0
G001232,56.0
G001233,63.0
G001234,33.0
G001235,18.0
G001236,32.0
G001237,32.0
G001238,83.0
G001239,44.0
G001240,66.0
G001241,59.0
G001242,69.0
G001243,45.0
G001244,34.0
G001245,34.0
G001246,43.0
G001247,36.0
G001248,41.0
G001249,66.0
G001250,65.0
G001251,54.0
G001252,43.0
G001253,58.0
G001254,43.0
G001255,47.0
G001256,64.0
G001257,47.0
G001258,51.0
G001259,60.0
G001260,66.0
G001261,43.0
G001262,
G001263,63.0
G001264,49.0
G001265,57.0
G001266,48.0
G001267,51.0
G001268,45.0
G001269,62.0
G001270,64.0
G001271,57.0
G001272,56.0
G001273,28.0
G001274,58.0
G001275,40.0
G001276,58.0
G001277,47.0
G001278,55.0
G001279,59.0
G001280,28.0
G001281,38.0
G001282,66.0
G001283,54.0
G001284,
G001285,65.0
G001286,54.0
G001287,48.0
G001288,24.0
G001289,48.0
G001290,39.0
G001291,44.0
G001292,39.0
G001293,42.0
G001294,58.0
G001295,38.0
G001296,60.0
G001297,39.0
G001298,43.0
G001299,30.0
G001300,61.0
G001301,40.0
G001302,29.0
G001303,34.0
G001304,63.0
G001305,43.0
G001306,50.0
G001307,22.0
G001308,52.0
G001309,34.0
G001310,61.0
G001311,45.0
G001312,53.0
G001313,44.0
G001314,61.0
G001315,40.0
G001316,25.0
G001317,46.0
G001318,36.0
G001319,41.0
G001320,36.0
G001321,58.0
G001322,57.0
G001323,39.0
G001324,58.0
G001325,25.0
G001326,58.0
G001327,62.0
G001328,35.0
G001329,52.0
G001330,58.0
G001331,40.0
G001332,46.0
G001333,50.0
G001334,53.0
G001335,39.0
G001336,40.0
G001337,39.0
G001338,58.0
G001339,51.0
G001340,45.0
G001341,49.0
G001342,48.0
G001343,51.0
G001344,58.0
G001345,45.0
G001346,47.0
G001347,63.0
G001348,55.0
G001349,43.0
G001350,65.0
G001351,44.0
G001352,36.0
G001353,44.0
G001354,36.0
G001355,38.0
G001356,21.0
G001357,45.0
G001358,34.0
G001359,54.0
G001360,30.0
G001361,36.0
G001362,42.0
G001363,59.0
G001364,39.0
G001365,53.0
G001366,35.0
G001367,38.0
G001368,42.0
G001369,61.0
G001370,65.0
G001371,67.0
G001372,52.0
G001373,73.0
G001374,52.0
G001375,58.0
G001376,49.0
G001377,68.0
G001378,39.0
G001379,44.0
G001380,46.0
G001381,37.0
G001382,52.0
G001383,45.0
G001384,48.0
G001385,45.0
G001386,56.0
G001387,60.0
G001388,39.0
G001389,58.0
G001390,53.0
G001391,28.0
G001392,52.0
G001393,38.0
G001394,61.0
G001395,34.0
G001396,57.0
G001397,33.0
G001398,33.0
G001399,36.0
G001400,57.0
G001401,57.0
G001402,39.0
G001403,45.0
G001404,32.0
G001405,61.0
G001406,54.0
G001407,79.0
G001408,56.0
G001409,30.0
G001410,52.0
G001411,44.0
G001412,56.0
G001413,19.0
G001414,27.0
G001415,50.0
G001416,37.0
G001417,28.0
G001418,33.0
G001419,37.0
G001420,55.0
G001421,71.0
G001422,60.0
G001423,49.0
G001424,57.0
G001425,53.0
G001426,72.0
G001427,43.0
G001428,46.0
G001429,18.0
G001430,42.0
G001431,54.0
G001432,34.0
G001433,38.0
G001434,65.0
G001435,59.0
G001436,32.0
G001437,61.0
G001438,90.0
G001439,48.0
G001440,44.0
G001441,23.0
G001442,33.0
G001443,44.0
G001444,48.0
G001445,50.0
G001446,28.0
G001447,22.0
G001448,27.0
G001449,39.0
G001450,63.0
G001451,21.0
G001452,59.0
G001453,25.0
G001454,32.0
G001455,66.0
G001456,48.0
G001457,42.0
G001458,45.0
G001459,38.0
G001460,40.0
G001461,39.0
G001462,32.0
G001463,38.0
G001464,74.0
G001465,56.0
G001466,38.0
G001467,38.0
G001468,38.0
G001469,56.0
G001470,66.0
G001471,45.0
G001472,56.0
G001473,22.0
G001474,39.0
G001475,73.0
G001476,31.0
G001477,26.0
G001478,46.0
G001479,23.0
G001480,50.0
G001481,33.0
G001482,64.0
G001483,46.0
G001484,53.0
G001485,60.0
G001486,48.0
G001487,18.0
G001488,33.0
G001489,41.0
G001490,53.0
G001491,28.0
G001492,54.0
G001493,51.0
G001494,36.0
G001495,28.0
G001496,71.0
G001497,39.0
G001498,36.0
G001499,61.0
G001500,39.0
G001501,49.0
G001502,47.0
G001503,66.0
G001504,58.0
G001505,31.0
G001506,38.0
G001507,49.0
G001508,54.0
G001509,55.0
G001510,71.0
G001511,43.0
G001512,57.0
G001513,33.0
G001514,56.0
G001515,37.0
G001516,33.0
G001517,31.0
G001518,38.0
G001519,40.0
G001520,45.0
G001521,50.0
G001522,61.0
G001523,50.0
G001524,59.0
G001525,19.0
G001526,26.0
G001527,39.0
G001528,43.0
G001529,26.0
G001530,34.0
G001531,27.0
G001532,53.0
G001533,50.0
G001534,47.0
G001535,35.0
G001536,37.0
G001537,45.0
G001538,48.0
G001539,34.0
G001540,33.0
G001541,40.0
G001542,
G001543,51.0
G001544,58.0
G001545,44.0
G001546,29.0
G001547,44.0
G001548,44.0
G001549,45.0
G001550,57.0
G001551,27.0
G001552,18.0
G001553,56.0
G001554,40.0
G001555,47.0
G001556,51.0
G001557,35.0
G001558,45.0
G001559,30.0
G001560,33.0
G001561,60.0
G001562,46.0
G001563,22.0
G001564,65.0
G001565,64.0
G001566,18.0
G001567,52.0
G001568,58.0
G001569,41.0
G001570,45.0
G001571,45.0
G001572,52.0
G001573,56.0
G001574,33.0
G001575,42.0
G001576,56.0
G001577,37.0
G001578,21.0
G001579,39.0
G001580,32.0
G001581,27.0
G001582,68.0
G001583,24.0
G001584,72.0
G001585,44.0
G001586,49.0
G001587,31.0
G001588,40.0
G001589,53.0
G001590,42.0
G001591,41.0
G001592,32.0
G001593,58.0
G001594,29.0
G001595,25.0
G001596,49.0
G001597,57.0
G001598,35.0
G001599,66.0
G001600,24.0
G001601,63.0
G001602,59.0
G001603,63.0
G001604,
G001605,25.0
G001606,64.0
G001607,43.0
G001608,59.0
G001609,46.0
G001610,55.0
G001611,42.0
G001612,45.0
G001613,58.0
G001614,44.0
G001615,69.0
G001616,50.0
G001617,38.0
G001618,19.0
G001619,32.0
G001620,25.0
G001621,46.0
G001622,50.0
G001623,25.0
G001624,18.0
G001625,56.0
G001626,55.0
G001627,43.0
G001628,51.0
G001629,33.0
G001630,49.0
G001631,42.0
G001632,61.0
G001633,
G001634,47.0
G001635,60.0
G001636,42.0
G001637,32.0
G001638,63.0
G001639,41.0
G001640,28.0
G001641,18.0
G001642,39.0
G001643,58.0
G001644,44.0
G001645,
G001646,38.0
G001647,59.0
G001648,40.0
G001649,42.0
G001650,42.0
G001651,30.0
G001652,49.0
G001653,38.0
G001654,
G001655,33.0
G001656,51.0
G001657,32.0
G001658,22.0
G001659,45.0
G001660,43.0
G001661,32.0
G001662,39.0
G001663,63.0
G001664,43.0
G001665,62.0
G001666,61.0
G001667,66.0
G001668,49.0
G001669,58.0
G001670,59.0
G001671,58.0
G001672,34.0
G001673,32.0
G001674,33.0
G001675,65.0
G001676,50.0
G001677,70.0
G001678,52.0
G001679,35.0
G001680,44.0
G001681,59.0
G001682,24.0
G001683,77.0
G001684,49.0
G001685,53.0
G001686,33.0
G001687,63.0
G001688,27.0
G001689,37.0
G001690,32.0
G001691,33.0
G001692,73.0
G001693,25.0
G001694,52.0
G001695,31.0
G001696,56.0
G001697,38.0
G001698,60.0
G001699,44.0
G001700,
G001701,45.0
G001702,61.0
G001703,29.0
G001704,43.0
G001705,52.0
G001706,47.0
G001707,56.0
G001708,57.0
G001709,29.0
G001710,44.0
G001711,49.0
G001712,57.0
G001713,36.0
G001714,65.0
G001715,30.0
G001716,40.0
G001717,52.0
G001718,63.0
G001719,55.0
G001720,37.0
G001721,62.0
G001722,48.0
G001723,35.0
G001724,43.0
G001725,42.0
G001726,61.0
G001727,67.0
G001728,47.0
G001729,49.0
G001730,52.0
G001731,51.0
G001732,32.0
G001733,29.0
G001734,32.0
G001735,23.0
G001736,50.0
G001737,53.0
G001738,42.0
G001739,52.0
G001740,30.0
G001741,58.0
G001742,40.0
G001743,42.0
G001744,35.0
G001745,38.0
G001746,57.0
G001747,38.0
G001748,61.0
G001749,35.0
G001750,59.0
G001751,32.0
G001752,26.0
G001753,52.0
G001754,27.0
G001755,30.0
G001756,46.0
G001757,50.0
G001758,65.0
